刷怪组,位置,旋转,缩放,实体,特殊标记
id,pos,rotate,scale,object_id,
1,47.1|0|21.4,0|180|0,0.8|0.8|0.8,200003,0
2,40.8|0|20,0|180|0,1.1|1.1|1.1,200005,0
3,32|0|25.01,0|180|0,0.85|0.85|0.85,200107,0
4,44.86|0|5.76,0|180|0,1|1|1,200002,0
5,51.89|0|12.59,0|180|0,0.85|0.85|0.85,200109,0
6,34.4|0|12.59,0|180|0,0.85|0.85|0.85,200105,0
7,31.7|0|5.89,0|180|0,1|1|1,200004,0
8,44.47|0|13,0|180|0,1|1|1,200002,0
9,25.87|0|12.59,0|180|0,0.85|0.85|0.85,200102,0
10,38.12|0|5.76,0|180|0,1.1|1.1|1.1,200005,0
11,52.24|0|4.42,0|180|0,0.8|0.8|0.8,200003,0
12,60.85|0|21.66,0|180|0,0.85|0.85|0.85,200106,0
13,68|0|6.57,0|180|0,0.85|0.85|0.85,200104,0
14,87.6|0|13.2,0|180|0,0.85|0.85|0.85,200106,0
15,71.9|0|21.7,0|180|0,0.85|0.85|0.85,200102,0
16,57.3|0|7.9,0|180|0,1.1|1.1|1.1,200005,0
17,78|0|4.22,0|180|0,1.1|1.1|1.1,200005,0
18,81.3|0|7.4,0|180|0,0.8|0.8|0.8,200003,0
19,73.66|0|7.54,0|180|0,1|1|1,200004,0
20,59.28|0|14.22,0|180|0,1|1|1,200004,0
21,67.46|0|15.1,0|180|0,0.8|0.8|0.8,200003,0
22,61.9|0|4.5,0|180|0,1|1|1,200002,0
23,94.1|0|20.4,0|180|0,1|1|1,200004,0
24,100.1|0|7.6,0|180|0,0.85|0.85|0.85,200109,0
25,93.8|0|3.1,0|180|0,1|1|1,200002,0
26,87.5|0|7.2,0|180|0,1.1|1.1|1.1,200005,0
27,78.7|0|20.4,0|180|0,1|1|1,200004,0
28,84.7|0|19.9,0|180|0,0.8|0.8|0.8,200003,0
29,39.7|0|25.3,0|180|0,1|1|1,200004,0
30,53.7|0|21.6,0|180|0,1|1|1,200002,0
31,112.7|0|18.3,0|180|0,0.85|0.85|0.85,200001,0
32,98.6|0|14,0|180|0,1|1|1,200002,0
33,56.44|0|22.13,0|0|0,2|2|1,200301,0
