刷怪组,位置,旋转,缩放,实体,特殊标记
id,pos,rotate,scale,object_id,
1,89.98535|0.2500076|19.5365,0|180|0,0.85|0.85|0.85,200109,0
2,26.5|0.25|25.8,0|0|0,1|1|1,200004,0
3,21.43|0.25|22.23,0|0|0,1.1|1.1|1.1,200005,0
4,36.1|0.25|4.94,0|0|0,1|1|1,200002,0
5,29.93|0.25|5.43,0|0|0,0.8|0.8|0.8,200003,0
6,39.93|0.25|18.83,0|0|0,1.1|1.1|1.1,200005,0
7,45|0.25|22.4,0|0|0,1|1|1,200004,0
8,51.64|0.25|18.83,0|0|0,1.1|1.1|1.1,200005,0
9,56.71|0.25|22.4,0|0|0,1|1|1,200004,0
10,63.7|0.25|18.83,0|0|0,1.1|1.1|1.1,200005,0
11,68.77|0.25|22.4,0|0|0,1|1|1,200004,0
12,48.97|0.25|3.46,0|0|0,1|1|1,200002,0
13,42.8|0.25|3.95,0|0|0,0.8|0.8|0.8,200003,0
14,60.97|0.25|3.46,0|0|0,1|1|1,200002,0
15,54.8|0.25|3.95,0|0|0,0.8|0.8|0.8,200003,0
16,85.44|0.25|3.22,0|0|0,1|1|1,200002,0
17,79.27|0.25|3.71,0|0|0,0.8|0.8|0.8,200003,0
18,71|0.25|5.4,0|0|0,0.8|0.8|0.8,200003,0
19,93.01|0.2500076|7.03,0|0|0,0.85|0.85|0.85,200109,0
20,77|0.25|22.23,0|0|0,1.1|1.1|1.1,200005,0
21,83.3|0.25|24.1,0|0|0,1|1|1,200004,0
22,112.58|0|18.59,0|-90|0,1.5|1.5|1.5,200001,0
